Device,Max Clients,Unique Clients,Buildings
Moore 432 Hallway,5,7,Moore Hall
Moore 365 Hallway,2,2,Moore Hall
Moore 570 Hallway,0,4,Moore Hall
Moore 428,2,6,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,1,1,Moore Hall
Moore 107,0,8,Moore Hall
Moore 560 Hallway,4,4,Moore Hall
Moore 155B,2,4,Moore Hall
Moore 470,2,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,3,6,Moore Hall
Moore 225,1,8,Moore Hall
Moore 153B,3,16,Moore Hall
Moore 152,0,7,Moore Hall
Moore 153A,3,13,Moore Hall
Moore 262,0,4,Moore Hall
Moore 103,0,0,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,3,4,Moore Hall
Moore 104 Hallway,2,2,Moore Hall
Moore 321 Hallway,0,2,Moore Hall
Moore 109,0,8,Moore Hall
Moore 162,0,1,Moore Hall
Moore 370,0,0,Moore Hall
Moore 575 Hallway,2,2,Moore Hall
Moore 256 DH,2,5,Moore Hall
Moore 156,1,5,Moore Hall
Moore 360 Hallway,5,5,Moore Hall
Moore 302 Hallway,3,4,Moore Hall
Moore 573 Hallway,1,1,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,1,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,0,3,Moore Hall
Moore 112,1,8,Moore Hall
Moore 256 Ewa,4,20,Moore Hall
Moore 253,2,9,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,2,2,Moore Hall
Moore 218 Hallway,1,1,Moore Hall
Moore 161,3,7,Moore Hall
Moore 258,1,4,Moore Hall
Moore 570,4,4,Moore Hall
Moore 481 Hallway,2,3,Moore Hall
Moore 496 Hallway,1,2,Moore Hall
Moore 417,1,2,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,0,3,Moore Hall
Moore 102,0,5,Moore Hall
Moore 151,1,15,Moore Hall
Moore 569,3,4,Moore Hall
Moore 424,2,3,Moore Hall
Moore 117 DH,0,1,Moore Hall
Moore 564 Hallway,0,0,Moore Hall
Spalding 258A,0,2,Spalding Hall
Spalding 258,2,7,Spalding Hall
Edmondson 114,9,31,Edmondson Hall
Edmondson 112,13,25,Edmondson Hall
Edmondson 111,1,3,Edmondson Hall
Edmondson 3rd Fl Lanai,0,16,Edmondson Hall
Edmondson 1st Fl Lanai,6,106,Edmondson Hall
Edmondson 2nd Fl Lanai,6,38,Edmondson Hall
Edmondson 104,1,7,Edmondson Hall
Edmondson 101,11,28,Edmondson Hall
Edmondson 110,0,3,Edmondson Hall
Edmondson 103,11,23,Edmondson Hall
Edmondson 408,0,0,Edmondson Hall
Edmondson 212,0,0,Edmondson Hall
Edmondson 301 Mauka,3,5,Edmondson Hall
Edmondson 301 Makai,1,3,Edmondson Hall
Edmondson 401 Center,1,1,Edmondson Hall
Webster 203 Makai,0,1,Webster Hall
Webster 115,0,2,Webster Hall
Edmondson 301 Center,0,2,Edmondson Hall
Edmondson 401 Mauka,1,1,Edmondson Hall
Webster 101 Mauka,5,7,Webster Hall
Webster 446 Hallway,1,1,Webster Hall
Webster 114,1,2,Webster Hall
Webster 116,1,5,Webster Hall
Edmondson 411,1,1,Edmondson Hall
Webster 203 Ewa,1,1,Webster Hall
Webster 103 Hallway,2,8,Webster Hall
Edmondson 418,0,4,Edmondson Hall
Edmondson 203,3,6,Edmondson Hall
Webster 102,0,3,Webster Hall
Webster 112,3,8,Webster Hall
Edmondson 313,4,7,Edmondson Hall
Edmondson 401 Makai,1,1,Edmondson Hall
Edmondson 216,2,6,Edmondson Hall
Edmondson 201,4,10,Edmondson Hall
Webster 407 Hallway,1,2,Webster Hall
Edmondson 414,1,2,Edmondson Hall
Webster 327 Hallway,2,2,Webster Hall
Webster 303 Hallway,3,6,Webster Hall
Edmondson 215,1,8,Edmondson Hall
Webster 101 Makai,6,12,Webster Hall
Webster 103,0,1,Webster Hall
Webster Hallway 319E,1,2,Webster Hall
Webster 412 Hallway,1,3,Webster Hall
Webster 314 Hallway,0,1,Webster Hall
Webster 205,0,2,Webster Hall
Edmondson 213A,3,5,Edmondson Hall
Webster 214 Hallway,0,0,Webster Hall
Webster 438 Hallway,0,2,Webster Hall
Webster 432 Hallway,2,5,Webster Hall
Webster 218 Hallway,0,2,Webster Hall
Edmondson 309,3,4,Edmondson Hall
Edmondson 205,2,2,Edmondson Hall
Webster 203 Mauka,1,2,Webster Hall
Webster Hallway 317,0,4,Webster Hall
Webster 442 Hallway,0,1,Webster Hall
Webster 337 Hallway,1,2,Webster Hall
Webster 323 Hallway,0,1,Webster Hall
Edmondson 318,5,8,Edmondson Hall
Edmondson 308,0,4,Edmondson Hall
Webster 301,2,10,Webster Hall
Webster 402,3,4,Webster Hall
Webster 104,0,0,Webster Hall
Webster 201A,1,4,Webster Hall
Webster 204AA,1,3,Webster Hall
Edmondson 4th Fl Lanai,1,11,Edmondson Hall
Webster 113,0,5,Webster Hall
Webster 334,4,8,Webster Hall
Snyder 401C Hallway,0,0,Snyder Hall
Webster 403 Hallway,0,1,Webster Hall
Webster 200A,2,11,Webster Hall
Snyder 410 Hallway,2,3,Snyder Hall
Webster 332 Hallway,4,6,Webster Hall
Webster 201,0,1,Webster Hall
Webster 222 Hallway,0,0,Webster Hall
Snyder 411 Hallway,1,1,Snyder Hall
Spalding 353B,0,2,Spalding Hall
Spalding 354D,1,3,Spalding Hall
Paradise Palms DH Makai Dining,0,2,Paradise Palms
Paradise Palms Dunkin,4,44,Paradise Palms
Spalding 352,0,1,Spalding Hall
Spalding 255,3,8,Spalding Hall
Paradise Palms Center Dining,0,3,Paradise Palms
Spalding 454,1,2,Spalding Hall
Spalding 362,1,2,Spalding Hall
Spalding 358,1,1,Spalding Hall
Spalding 155 Mauka Ewa,2,2,Spalding Hall
Paradise Palms Ewa Makai Dining,1,2,Paradise Palms
Paradise Palms DH Mauka Dining,2,22,Paradise Palms
Spalding 155 Makai Ewa,1,2,Spalding Hall
Spalding 354,1,6,Spalding Hall
Spalding 155 Makai DH,0,0,Spalding Hall
Spalding 360,0,0,Spalding Hall
Spalding 453A,1,4,Spalding Hall
Spalding 257,2,0,Spalding Hall
Spalding 155 Mauka DH,0,0,Spalding Hall
Paradise Palms Ewa Mauka Dining,2,43,Paradise Palms
Snyder 401 Hallway,0,0,Snyder Hall
Snyder 107 BET,0,1,Snyder Hall
Emergency Call Box Snyder,1,9,Snyder Hall
Noelani A 107T,4,11,Noelani
HIG 314A,0,3,HIG
HIG 351 Hallway,1,4,HIG
HIG 312,2,3,HIG
HIG 340,1,2,HIG
HIG 305A,1,4,HIG
HIG 318,6,20,HIG
HIG 131,4,12,HIG
HIG 364 Hallway,2,3,HIG
HIG 353,0,4,HIG
HIG 337,1,3,HIG
HIG 367,0,0,HIG
HIG 316,1,4,HIG
HIG 333,3,5,HIG
HIG 303,1,12,HIG
HIG 109,4,22,HIG
HIG 315,1,1,HIG
HIG 376,1,2,HIG
HIG 151,0,16,HIG
HIG 311,1,4,HIG
HIG 110 Mauka Ewa,0,0,HIG
HIG 375,1,17,HIG
HIG 105B,0,5,HIG
HIG 110 Mauka DH,1,1,HIG
HIG 108,1,10,HIG
HIG 372,1,2,HIG
HIG 117A,1,14,HIG
HIG 309,0,0,HIG
HIG 310,0,2,HIG
HIG 321,4,9,HIG
HIG 131A,3,8,HIG
HIG 362,3,4,HIG
Kuykendall 101 Ewa Makai,0,0,Kuykendall
Kuykendall 106 Hallway,3,13,Kuykendall
HIG 417 Mauka,0,0,HIG
HIG 440,3,4,HIG
HIG 215C,0,1,HIG
HIG 116,0,8,HIG
HIG 213,0,0,HIG
Kuykendall 101 DH,0,0,Kuykendall
Kuykendall 310 Hallway,2,2,Kuykendall
Kuykendall 307 Hallway,0,0,Kuykendall
HIG 412,3,6,HIG
HIG 410A,0,0,HIG
HIG 135,1,2,HIG
HIG 305,1,4,HIG
HIG 211,0,3,HIG
HIG 413,5,7,HIG
HIG 432,2,9,HIG
HIG 232,0,11,HIG
Kuykendall 210 Hallway,1,4,Kuykendall
HIG 214,0,0,HIG
Kuykendall 415 Hallway,2,5,Kuykendall
HIG 336,2,5,HIG
Kuykendall 412 Hallway,2,3,Kuykendall
HIG 131C,2,9,HIG
HIG 210,0,0,HIG
Kuykendall 213,0,5,Kuykendall
Kuykendall 201A,2,3,Kuykendall
HIG 205,0,0,HIG
HIG P3,0,0,HIG
Kuykendall 521 Hallway,2,2,Kuykendall
Kuykendall 101 Ewa Mauka,0,0,Kuykendall
HIG 222,0,5,HIG
HIG 406,1,4,HIG
HIG 238,0,1,HIG
Kuykendall 316 Hallway,0,1,Kuykendall
Kuykendall 409 Hallway,1,7,Kuykendall
HIG 409D,0,1,HIG
HIG 411,5,6,HIG
HIG 107,2,10,HIG
HIG 105,1,4,HIG
HIG 418,1,1,HIG
Kuykendall 323 Hallway,1,1,Kuykendall
HIG 152 Ewa,0,0,HIG
HIG B005,0,0,HIG
HIG 215,0,0,HIG
HIG 110 Makai Ewa,0,0,HIG
HIG 206,1,2,HIG
HIG 416B,2,2,HIG
Kuykendall 225 Hallway,1,3,Kuykendall
HIG 409,1,1,HIG
HIG 115,1,9,HIG
HIG P5,1,2,HIG
Kuykendall 204,0,0,Kuykendall
HIG 404,1,5,HIG
Kuykendall 325 Hallway,0,0,Kuykendall
HIG 231,0,2,HIG
HIG 421,0,8,HIG
Kuykendall 207 Hallway,1,13,Kuykendall
HIG 133,0,26,HIG
Kuykendall 309 Hallway,0,0,Kuykendall
Kuykendall 402 Hallway,2,4,Kuykendall
HIG 417 Makai,0,1,HIG
HIG 415A,2,3,HIG
HIG 152 DH,0,3,HIG
HIG 153A,0,5,HIG
HIG 153,1,1,HIG
HIG 407A,0,0,HIG
HIG 437,1,3,HIG
HIG 208,0,0,HIG
HIG 435,3,7,HIG
HIG 217,3,4,HIG
Kuykendall 721 Hallway,0,0,Kuykendall
Holmes 356,2,3,Holmes Hall
Kuykendall BET Outdoor,8,76,Kuykendall
Kuykendall 411 Hallway,1,1,Kuykendall
Kuykendall 419 Hallway,0,2,Kuykendall
Holmes 452,4,7,Holmes Hall
Kuykendall 417 Hallway,3,7,Kuykendall
Holmes 448,9,10,Holmes Hall
Holmes 390,2,2,Holmes Hall
Holmes 357,1,3,Holmes Hall
Kuykendall 716 Hallway,2,2,Kuykendall
Holmes 347,1,3,Holmes Hall
Holmes 142 Makai,0,0,Holmes Hall
Holmes 287,0,1,Holmes Hall
Kuykendall 426 Hallway,1,3,Kuykendall
Kuykendall 206 Temp,5,28,Kuykendall
Kuykendall 313,1,28,Kuykendall
Kuykendall 318 Hallway,0,0,Kuykendall
Holmes 352 Hallway,7,10,Holmes Hall
Holmes 310B,3,4,Holmes Hall
Kuykendall 106A,2,21,Kuykendall
Kuykendall 307 DH,0,14,Kuykendall
Holmes 240C,3,6,Holmes Hall
Holmes 447 Hallway,2,5,Holmes Hall
Kuykendall 514 Hallway,0,0,Kuykendall
Holmes 310,3,3,Holmes Hall
Holmes 385 DH,1,8,Holmes Hall
Kuykendall 107 Hallway,4,14,Kuykendall
Kuykendall 616 Hallway,1,2,Kuykendall
Holmes 142B,4,4,Holmes Hall
Holmes 142 Mauka,0,1,Holmes Hall
Holmes 336 Hallway,2,6,Holmes Hall
Kuykendall 304,0,0,Kuykendall
Holmes 348D,2,4,Holmes Hall
Kuykendall 523 Hallway,0,1,Kuykendall
Holmes 306,3,3,Holmes Hall
Kuykendall 209 DH,1,15,Kuykendall
Holmes 308,0,0,Holmes Hall
Kuykendall 621 Hallway,0,0,Kuykendall
Holmes 181 Hallway,3,82,Holmes Hall
Holmes 386,0,1,Holmes Hall
Holmes 140A,2,5,Holmes Hall
Holmes 350A,0,0,Holmes Hall
Kuykendall 408,1,4,Kuykendall
Kuykendall 223 Hallway,3,3,Kuykendall
Kuykendall 310,0,9,Kuykendall
Kuykendall 424 Hallway,0,0,Kuykendall
Holmes 183,0,1,Holmes Hall
Holmes 388,0,0,Holmes Hall
Holmes 286 Hallway,0,1,Holmes Hall
Kuykendall 401A,1,1,Kuykendall
Kuykendall 201 Hallway,1,7,Kuykendall
Kuykendall 305,1,5,Kuykendall
Kuykendall 101 Hallway DH,2,8,Kuykendall
Holmes 458,1,1,Holmes Hall
Holmes 288A,2,4,Holmes Hall
Holmes 457,0,2,Holmes Hall
Holmes 288,1,3,Holmes Hall
Kuykendall 407,0,15,Kuykendall
Kuykendall 101 Hallway Ewa,1,3,Kuykendall
Kuykendall 303,0,3,Kuykendall
Kuykendall 301 Ewa,1,1,Kuykendall
Holmes 300 Hallway,0,5,Holmes Hall
Holmes 382 Hallway,2,3,Holmes Hall
Holmes 341 Hallway,1,2,Holmes Hall
Holmes 407,3,3,Holmes Hall
Kuykendall 309,0,0,Kuykendall
Holmes 451,2,2,Holmes Hall
Holmes 304 Hallway,2,2,Holmes Hall
Holmes 182,0,0,Holmes Hall
Kuykendall 306 DH,1,4,Kuykendall
Kuykendall 301 DH,1,7,Kuykendall
Holmes 102MA,2,2,Holmes Hall
Holmes 181,0,0,Holmes Hall
Kuykendall 516 Hallway,0,4,Kuykendall
Holmes 458 Hallway,6,7,Holmes Hall
Kuykendall 724 Hallway,1,1,Kuykendall
Kuykendall 614 Hallway,1,1,Kuykendall
Holmes 358,1,1,Holmes Hall
Kuykendall 216 Hallway,1,5,Kuykendall
Holmes 387,0,1,Holmes Hall
Holmes 385 Hallway,1,8,Holmes Hall
Kuykendall 210,1,24,Kuykendall
Kuykendall 307 Ewa,0,0,Kuykendall
Holmes 286,1,3,Holmes Hall
Holmes 389,0,1,Holmes Hall
Kuykendall 623 Hallway,0,0,Kuykendall
Kuykendall 209 Ewa,0,1,Kuykendall
Holmes 455,1,2,Holmes Hall
Holmes 183 Hallway,1,29,Holmes Hall
Kuykendall 302,0,2,Kuykendall
Holmes 351 Hallway,1,2,Holmes Hall
Kuykendall 713 Hallway,0,0,Kuykendall
Kuykendall 306 Ewa,4,20,Kuykendall
Holmes 180 Mauka,0,0,Holmes Hall
Kuykendall 308,0,0,Kuykendall
Holmes 142A,0,4,Holmes Hall
Holmes 345 Hallway,2,3,Holmes Hall
Kuykendall 218 Hallway,0,1,Kuykendall
Holmes 449 Hallway,2,5,Holmes Hall
Holmes 309,1,1,Holmes Hall
Holmes 180 Makai,0,1,Holmes Hall
Holmes 101 Civil Engineering,1,3,Holmes Hall
Kuykendall 406,0,5,Kuykendall
Kuykendall Annex Rm 7,4,38,Kuykendall
Holmes 288A Hallway,1,6,Holmes Hall
Holmes 2nd Fl DH Commons,4,33,Holmes Hall
Holmes 247 Mauka,0,1,Holmes Hall
Holmes 307,3,3,Holmes Hall
Holmes 408,1,1,Holmes Hall
Holmes 485 Hallway,0,1,Holmes Hall
Holmes 482 Hallway,0,1,Holmes Hall
Holmes 489 Hallway,1,3,Holmes Hall
Holmes 102 Hallway,5,115,Holmes Hall
Holmes 406 Hallway,2,3,Holmes Hall
Holmes 408A,2,2,Holmes Hall
Holmes 100 Stairs,1,1,Holmes Hall
Holmes 101,2,3,Holmes Hall
Holmes 489,0,1,Holmes Hall
Holmes 486,1,1,Holmes Hall
Holmes 209,6,6,Holmes Hall
Holmes 102MC,0,0,Holmes Hall
Holmes Ewa Makai Stairs,3,56,Holmes Hall
Holmes 492,0,0,Holmes Hall
Holmes 207 Hallway,4,6,Holmes Hall
Holmes 102MD,0,0,Holmes Hall
Holmes 411,1,1,Holmes Hall
Holmes BET,0,0,Holmes Hall
Holmes 101A,1,2,Holmes Hall
Holmes 240 Ewa,0,2,Holmes Hall
Holmes 243,1,4,Holmes Hall
Holmes 248,0,1,Holmes Hall
Holmes 246,0,0,Holmes Hall
Holmes 244A,1,1,Holmes Hall
Holmes 491,0,0,Holmes Hall
Holmes 242 Makai,0,1,Holmes Hall
Holmes 240K Hallway,1,2,Holmes Hall
Holmes 140,2,4,Holmes Hall
Holmes 102B,0,0,Holmes Hall
Holmes 406A,0,0,Holmes Hall
Holmes 487,4,6,Holmes Hall
Holmes 206A,4,5,Holmes Hall
Holmes 411 Hallway,2,10,Holmes Hall
Holmes 141 Hallway,2,45,Holmes Hall
Holmes 102,1,2,Holmes Hall
Holmes 241,0,1,Holmes Hall
Holmes 210,1,1,Holmes Hall
Holmes 211 Mauka,0,1,Holmes Hall
Holmes 144,1,6,Holmes Hall
Holmes 2nd Fl Ewa Commons,4,26,Holmes Hall
Holmes 240 DH,1,1,Holmes Hall
Holmes 244 Makai,0,0,Holmes Hall
Holmes 101 Hallway,1,38,Holmes Hall
Holmes 143C,0,3,Holmes Hall
HIG Makai-DH Exterior,3,45,HIG
Holmes 206 Hallway,6,13,Holmes Hall
Holmes 412,0,1,Holmes Hall
Moore 119,0,3,Moore Hall
Moore 216,1,1,Moore Hall
Moore 264,0,3,Moore Hall
Moore 204,0,1,Moore Hall
Moore 228 Makai,1,5,Moore Hall
Moore 111,0,3,Moore Hall
Moore 117 Ewa,1,5,Moore Hall
Moore 202,0,0,Moore Hall
Moore 155A,2,4,Moore Hall
Moore 227,1,10,Moore Hall
Moore 423 Hallway,3,3,Moore Hall
Moore 259,3,5,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Moore 120,0,3,Moore Hall
Moore 203,0,3,Moore Hall
Moore 105,1,3,Moore Hall
Moore 224,0,2,Moore Hall
Moore 421 Hallway,1,4,Moore Hall
Moore 414 Hallway,2,3,Moore Hall
Moore 226,0,2,Moore Hall
Moore 207,0,1,Moore Hall
Moore 208A Hallway,1,5,Moore Hall
Moore 254,1,5,Moore Hall
Moore 394,3,6,Moore Hall
Moore 206,0,9,Moore Hall
Moore 228 Mauka,1,10,Moore Hall
Hamilton P3 456,0,1,Hamilton Library
Hamilton P1 003 - INS Commons Area,1,1,Hamilton Library
Hamilton P3 356 Makai,0,7,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,3,34,Hamilton Library
Hamilton P2 109A,2,16,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,3,Hamilton Library
Hamilton P3 553,1,2,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,2,5,Hamilton Library
Hamilton P3 354A DH,0,0,Hamilton Library
Hamilton P2 526,1,4,Hamilton Library
Hamilton P3 150A,0,5,Hamilton Library
Hamilton P3 A153,1,12,Hamilton Library
Hamilton P2 114A/113,1,21,Hamilton Library
Hamilton P3 Bridge,1,6,Hamilton Library
Hamilton P3 A260 Makai,1,1,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,0,3,Hamilton Library
Hamilton P3 456 Makai,1,6,Hamilton Library
Hamilton P3 454A DH,1,1,Hamilton Library
Hamilton P3 A261 Study Area,1,3,Hamilton Library
Hamilton P3 151E,1,5,Hamilton Library
Hamilton P3 150A Study Area,1,9,Hamilton Library
Hamilton P3 553C,0,11,Hamilton Library
Hamilton P3 356,1,1,Hamilton Library
Hamilton P3 258,1,5,Hamilton Library
Hamilton P2 501,1,2,Hamilton Library
Hamilton P2 120,1,4,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,3,Hamilton Library
Hamilton P2 110A,3,24,Hamilton Library
Hamilton 412 Hallway,0,2,Hamilton Library
Hamilton P1 100 CLIC,6,22,Hamilton Library
Hamilton 4th Fl Asia 39,0,1,Hamilton Library
Hamilton P2 113,2,14,Hamilton Library
Hamilton P2 422/423 Hallway,1,6,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,1,15,Hamilton Library
Hamilton P2 014 DH,3,3,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,2,Hamilton Library
Hamilton P3 BET,0,1,Hamilton Library
Hamilton P1 002-Administration,1,1,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,3,4,Hamilton Library
Hamilton P2 400,1,4,Hamilton Library
Hamilton P3 156,1,2,Hamilton Library
Hamilton P1 003 Mauka,1,1,Hamilton Library
Hamilton P2 016,6,7,Hamilton Library
Hamilton P1 003F,0,0,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,3,7,Hamilton Library
Hamilton P2 006B,2,3,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,2,4,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,3,4,Hamilton Library
Hamilton P1 201 Hallway,0,2,Hamilton Library
Hamilton P1 102,4,4,Hamilton Library
Hamilton 4th Fl Asia 32,0,1,Hamilton Library
Hamilton PI 006C,1,2,Hamilton Library
Hamilton P2 108,6,17,Hamilton Library
Hamilton P2 1stFl Elevator,8,50,Hamilton Library
Hamilton P1 006D Ewa,1,1,Hamilton Library
Hamilton P1 006A,0,0,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,1,3,Hamilton Library
Hamilton P2 029,4,7,Hamilton Library
Hamilton P1 208,1,1,Hamilton Library
Hamilton P1 006 DH,0,1,Hamilton Library
Hamilton P1 202,0,0,Hamilton Library
Hamilton P1 101 DH,2,44,Hamilton Library
Hamilton P1 100-Study Area,13,53,Hamilton Library
Hamilton 4th Fl Asia 22,1,1,Hamilton Library
Hamilton P2 508,0,4,Hamilton Library
Hamilton P2 014 Ewa,2,4,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,1,13,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,4,Hamilton Library
Hamilton P2 026,2,9,Hamilton Library
Hamilton P2 306 DH,1,2,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,11,30,Hamilton Library
Hamilton 4th Fl Asia 34,1,1,Hamilton Library
Hamilton P1 101 Hallway,9,60,Hamilton Library
Hamilton P2 217 Hallway,1,1,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,12,27,Hamilton Library
Hamilton P1 003 Makai,1,2,Hamilton Library
Hamilton P1 006A GovDocs,2,2,Hamilton Library
Hamilton P2 008 Ewa,5,10,Hamilton Library
Hamilton P2 123,1,6,Hamilton Library
Hamilton P1 006 Ewa,2,2,Hamilton Library
PSB 111,0,2,Physical Science Building
PSB 217 Makai Ewa,0,1,Physical Science Building
Watanabe 213 Hallway,6,8,Watanabe
PSB 402 Hallway,1,3,Physical Science Building
PSB 110,1,4,Physical Science Building
PSB 213,2,2,Physical Science Building
PSB 102 Hallway,0,2,Physical Science Building
PSB 208 DH,0,0,Physical Science Building
PSB Ewa Exterior Makai,5,68,Physical Science Building
Watanabe 209 Hallway,2,6,Watanabe
PSB 202 Hallway,0,2,Physical Science Building
Watanabe 112 DH,2,3,Watanabe
Watanabe 110,1,4,Watanabe
PSB 217 Mauka Ewa,0,0,Physical Science Building
PSB 217 Makai DH,1,1,Physical Science Building
PSB 210A,1,2,Physical Science Building
PSB 214,0,1,Physical Science Building
Watanabe 229 Hallway,2,17,Watanabe
PSB Ewa Exterior Mauka,2,40,Physical Science Building
PSB 112,0,1,Physical Science Building
PSB 211,0,0,Physical Science Building
PSB 407 Hallway,0,1,Physical Science Building
PSB 306 Hallway,1,1,Physical Science Building
PSB 319 Hallway,5,6,Physical Science Building
PSB 311 DH,0,2,Physical Science Building
Watanabe 109,3,7,Watanabe
PSB 310 DH,0,0,Physical Science Building
Watanabe 333 Hallway,1,3,Watanabe
Watanabe 412 Hallway,3,3,Watanabe
Watanabe 330 Hallway,1,3,Watanabe
Watanabe 437 Hallway,2,2,Watanabe
PSB 317,0,1,Physical Science Building
PSB 310 Ewa,0,0,Physical Science Building
Watanabe 217 Hallway,2,6,Watanabe
Watanabe 112 Ewa,0,3,Watanabe
Watanabe 404 Hallway,3,3,Watanabe
Watanabe 432 Hallway,4,7,Watanabe
PSB 108,0,2,Physical Science Building
PSB 209,1,6,Physical Science Building
Watanabe 420 Ewa,0,0,Watanabe
PSB 313,0,0,Physical Science Building
Watanabe 302 Hallway,2,2,Watanabe
Watanabe 234 Hallway,0,6,Watanabe
Watanabe 310 Hallway,1,2,Watanabe
Watanabe 420 DH,0,1,Watanabe
PSB 217 Mauka DH,0,0,Physical Science Building
Watanabe 202 Hallway,3,3,Watanabe
Watanabe 205 Hallway,1,4,Watanabe
Watanabe 312 Hallway,2,3,Watanabe
PSB 314,0,0,Physical Science Building
Watanabe 306 Hallway,2,4,Watanabe
PSB 309A,0,1,Physical Science Building
Watanabe 113,1,3,Watanabe
PSB 312C,0,0,Physical Science Building
Watanabe 336 Hallway,1,2,Watanabe
PSB 208 Ewa,0,1,Physical Science Building
Watanabe 327 Hallway,1,7,Watanabe
PSB 311 Ewa Makai,0,0,Physical Science Building
Watanabe 416,1,2,Watanabe
Keller 206,1,11,Keller
Watanabe 428 Hallway,1,1,Watanabe
Keller 3rd Fl Lounge,5,45,Keller
